ds,yhat,yhat_lower,yhat_upper
2018-08-23,260.7,189.5,332.8
2018-08-24,252.6,186.1,319.1
2018-08-25,207.3,137.1,277.4
2018-08-26,223.4,153.5,291.2
2018-08-27,281.9,208.0,352.7
2018-08-28,280.8,208.6,353.0
2018-08-29,276.0,205.6,350.3
2018-08-30,270.5,203.7,342.3
2018-08-31,264.7,198.9,334.6
2018-09-01,221.2,147.7,287.8
2018-09-02,238.7,169.6,309.9
2018-09-03,298.0,230.0,368.9
2018-09-04,297.2,223.5,367.4
2018-09-05,292.2,222.1,359.2
2018-09-06,286.0,218.1,364.5
2018-09-07,201.0,132.6,265.8
2018-09-08,233.7,158.8,298.8
2018-09-09,249.1,177.9,319.5
2018-09-10,306.0,233.5,374.3
2018-09-11,302.5,234.0,379.3
2018-09-12,294.6,220.4,369.3
2018-09-13,285.5,215.2,351.6
2018-09-14,275.5,206.3,348.0
2018-09-15,227.4,161.3,297.2
2018-09-16,240.1,168.1,314.0
2018-09-17,294.6,227.3,361.5
2018-09-18,289.1,221.9,359.3
2018-09-19,279.5,211.1,353.5
