category,prev,last,growth_pct
food,47.0,116.0,146.8
fashion_bags_accessories,63.0,137.0,117.5
luggage_accessories,37.0,77.0,108.1
telephony,171.0,325.0,90.1
construction_tools_construction,98.0,178.0,81.6
construction_tools_lights,44.0,70.0,59.1
musical_instruments,31.0,49.0,58.1
pet_shop,145.0,226.0,55.9
perfumery,162.0,244.0,50.6
auto,286.0,423.0,47.9
housewares,480.0,697.0,45.2
stationery,149.0,213.0,43.0
baby,178.0,254.0,42.7
furniture_decor,370.0,522.0,41.1
bed_bath_table,537.0,755.0,40.6
computers_accessories,350.0,486.0,38.9
sports_leisure,390.0,537.0,37.7
toys,137.0,185.0,35.0
consoles_games,46.0,59.0,28.3
home_appliances,65.0,80.0,23.1
health_beauty,729.0,877.0,20.3
cool_stuff,109.0,128.0,17.4
unknown,43.0,49.0,14.0
watches_gifts,440.0,490.0,11.4
garden_tools,154.0,165.0,7.1
home_construction,53.0,54.0,1.9
electronics,141.0,141.0,0.0
furniture_living_room,48.0,46.0,-4.2
small_appliances,41.0,27.0,-34.1
office_furniture,74.0,42.0,-43.2
